needle_scale,extent,number_of_drops,number_of_hits,drops_per_hits,pi
0.5,1.0,1,0,0.0,0.0
0.5,1.0,2,1,2.0,2.0
0.5,1.0,3,2,1.5,1.5
0.5,1.0,4,3,1.3333333333333333,1.3333333333333333
0.5,1.0,5,3,1.6666666666666667,1.6666666666666667
0.5,1.0,6,3,2.0,2.0
0.5,1.0,7,3,2.3333333333333335,2.3333333333333335
0.5,1.0,8,3,2.6666666666666665,2.6666666666666665
0.5,1.0,9,4,2.25,2.25
0.5,1.0,10,4,2.5,2.5
0.5,1.0,11,4,2.75,2.75
0.5,1.0,12,4,3.0,3.0
0.5,1.0,13,4,3.25,3.25
0.5,1.0,14,4,3.5,3.5
0.5,1.0,15,5,3.0,3.0
0.5,1.0,16,5,3.2,3.2
0.5,1.0,17,5,3.4,3.4
0.5,1.0,18,5,3.6,3.6
0.5,1.0,19,6,3.1666666666666665,3.1666666666666665
0.5,1.0,20,6,3.3333333333333335,3.3333333333333335
0.5,1.0,21,6,3.5,3.5
0.5,1.0,22,7,3.142857142857143,3.142857142857143
0.5,1.0,23,7,3.2857142857142856,3.2857142857142856
0.5,1.0,24,8,3.0,3.0
0.5,1.0,25,8,3.125,3.125
0.5,1.0,26,9,2.888888888888889,2.888888888888889
0.5,1.0,27,10,2.7,2.7
0.5,1.0,28,10,2.8,2.8
0.5,1.0,29,10,2.9,2.9
0.5,1.0,30,11,2.727272727272727,2.727272727272727
0.5,1.0,31,12,2.5833333333333335,2.5833333333333335
0.5,1.0,32,12,2.6666666666666665,2.6666666666666665
0.5,1.0,33,12,2.75,2.75
0.5,1.0,34,12,2.8333333333333335,2.8333333333333335
0.5,1.0,35,12,2.9166666666666665,2.9166666666666665
0.5,1.0,36,13,2.769230769230769,2.769230769230769
0.5,1.0,37,13,2.8461538461538463,2.8461538461538463
0.5,1.0,38,14,2.7142857142857144,2.7142857142857144
0.5,1.0,39,14,2.7857142857142856,2.7857142857142856
0.5,1.0,40,14,2.857142857142857,2.857142857142857
0.5,1.0,41,15,2.7333333333333334,2.7333333333333334
0.5,1.0,42,15,2.8,2.8
0.5,1.0,43,15,2.8666666666666667,2.8666666666666667
0.5,1.0,44,15,2.933333333333333,2.933333333333333
0.5,1.0,45,15,3.0,3.0
0.5,1.0,46,15,3.066666666666667,3.066666666666667
0.5,1.0,47,16,2.9375,2.9375
0.5,1.0,48,16,3.0,3.0
0.5,1.0,49,16,3.0625,3.0625
0.5,1.0,50,16,3.125,3.125
0.5,1.0,51,16,3.1875,3.1875
0.5,1.0,52,16,3.25,3.25
0.5,1.0,53,16,3.3125,3.3125
0.5,1.0,54,17,3.176470588235294,3.176470588235294
0.5,1.0,55,17,3.235294117647059,3.235294117647059
0.5,1.0,56,17,3.2941176470588234,3.2941176470588234
0.5,1.0,57,17,3.3529411764705883,3.3529411764705883
0.5,1.0,58,17,3.411764705882353,3.411764705882353
0.5,1.0,59,18,3.2777777777777777,3.2777777777777777
0.5,1.0,60,18,3.3333333333333335,3.3333333333333335
0.5,1.0,61,18,3.388888888888889,3.388888888888889
0.5,1.0,62,18,3.4444444444444446,3.4444444444444446
0.5,1.0,63,18,3.5,3.5
0.5,1.0,64,19,3.3684210526315788,3.3684210526315788
0.5,1.0,65,19,3.4210526315789473,3.4210526315789473
0.5,1.0,66,19,3.473684210526316,3.473684210526316
0.5,1.0,67,19,3.526315789473684,3.526315789473684
0.5,1.0,68,20,3.4,3.4
0.5,1.0,69,20,3.45,3.45
0.5,1.0,70,21,3.3333333333333335,3.3333333333333335
0.5,1.0,71,21,3.380952380952381,3.380952380952381
0.5,1.0,72,22,3.272727272727273,3.272727272727273
0.5,1.0,73,22,3.3181818181818183,3.3181818181818183
0.5,1.0,74,23,3.217391304347826,3.217391304347826
0.5,1.0,75,23,3.260869565217391,3.260869565217391
0.5,1.0,76,24,3.1666666666666665,3.1666666666666665
0.5,1.0,77,25,3.08,3.08
0.5,1.0,78,25,3.12,3.12
0.5,1.0,79,26,3.0384615384615383,3.0384615384615383
0.5,1.0,80,27,2.962962962962963,2.962962962962963
0.5,1.0,81,28,2.892857142857143,2.892857142857143
0.5,1.0,82,28,2.9285714285714284,2.9285714285714284
0.5,1.0,83,28,2.9642857142857144,2.9642857142857144
0.5,1.0,84,28,3.0,3.0
0.5,1.0,85,28,3.0357142857142856,3.0357142857142856
0.5,1.0,86,28,3.0714285714285716,3.0714285714285716
0.5,1.0,87,29,3.0,3.0
0.5,1.0,88,29,3.0344827586206895,3.0344827586206895
0.5,1.0,89,29,3.0689655172413794,3.0689655172413794
0.5,1.0,90,29,3.103448275862069,3.103448275862069
0.5,1.0,91,29,3.1379310344827585,3.1379310344827585
0.5,1.0,92,29,3.1724137931034484,3.1724137931034484
0.5,1.0,93,29,3.206896551724138,3.206896551724138
0.5,1.0,94,30,3.1333333333333333,3.1333333333333333
0.5,1.0,95,31,3.064516129032258,3.064516129032258
0.5,1.0,96,31,3.096774193548387,3.096774193548387
0.5,1.0,97,31,3.129032258064516,3.129032258064516
0.5,1.0,98,32,3.0625,3.0625
0.5,1.0,99,32,3.09375,3.09375
0.5,1.0,100,32,3.125,3.125
0.5,1.0,101,32,3.15625,3.15625
0.5,1.0,102,32,3.1875,3.1875
0.5,1.0,103,32,3.21875,3.21875
0.5,1.0,104,32,3.25,3.25
0.5,1.0,105,32,3.28125,3.28125
0.5,1.0,106,32,3.3125,3.3125
0.5,1.0,107,33,3.242424242424242,3.242424242424242
0.5,1.0,108,33,3.272727272727273,3.272727272727273
0.5,1.0,109,34,3.2058823529411766,3.2058823529411766
0.5,1.0,110,34,3.235294117647059,3.235294117647059
0.5,1.0,111,34,3.264705882352941,3.264705882352941
0.5,1.0,112,34,3.2941176470588234,3.2941176470588234
0.5,1.0,113,35,3.2285714285714286,3.2285714285714286
0.5,1.0,114,36,3.1666666666666665,3.1666666666666665
0.5,1.0,115,36,3.1944444444444446,3.1944444444444446
0.5,1.0,116,36,3.2222222222222223,3.2222222222222223
0.5,1.0,117,37,3.1621621621621623,3.1621621621621623
0.5,1.0,118,38,3.1052631578947367,3.1052631578947367
0.5,1.0,119,38,3.1315789473684212,3.1315789473684212
0.5,1.0,120,38,3.1578947368421053,3.1578947368421053
0.5,1.0,121,38,3.1842105263157894,3.1842105263157894
0.5,1.0,122,38,3.210526315789474,3.210526315789474
0.5,1.0,123,38,3.236842105263158,3.236842105263158
0.5,1.0,124,38,3.263157894736842,3.263157894736842
0.5,1.0,125,38,3.289473684210526,3.289473684210526
0.5,1.0,126,39,3.230769230769231,3.230769230769231
0.5,1.0,127,39,3.2564102564102564,3.2564102564102564
0.5,1.0,128,39,3.282051282051282,3.282051282051282
0.5,1.0,129,39,3.3076923076923075,3.3076923076923075
0.5,1.0,130,40,3.25,3.25
0.5,1.0,131,40,3.275,3.275
0.5,1.0,132,41,3.2195121951219514,3.2195121951219514
0.5,1.0,133,41,3.2439024390243905,3.2439024390243905
0.5,1.0,134,41,3.268292682926829,3.268292682926829
0.5,1.0,135,41,3.292682926829268,3.292682926829268
0.5,1.0,136,41,3.317073170731707,3.317073170731707
0.5,1.0,137,42,3.261904761904762,3.261904761904762
0.5,1.0,138,42,3.2857142857142856,3.2857142857142856
0.5,1.0,139,42,3.3095238095238093,3.3095238095238093
0.5,1.0,140,43,3.255813953488372,3.255813953488372
0.5,1.0,141,43,3.2790697674418605,3.2790697674418605
0.5,1.0,142,43,3.302325581395349,3.302325581395349
0.5,1.0,143,44,3.25,3.25
0.5,1.0,144,44,3.272727272727273,3.272727272727273
0.5,1.0,145,44,3.2954545454545454,3.2954545454545454
0.5,1.0,146,44,3.3181818181818183,3.3181818181818183
0.5,1.0,147,44,3.340909090909091,3.340909090909091
0.5,1.0,148,44,3.3636363636363638,3.3636363636363638
0.5,1.0,149,45,3.311111111111111,3.311111111111111
0.5,1.0,150,45,3.3333333333333335,3.3333333333333335
0.5,1.0,151,45,3.3555555555555556,3.3555555555555556
0.5,1.0,152,45,3.3777777777777778,3.3777777777777778
