needle_scale,extent,number_of_drops,number_of_hits,drops_per_hits,pi
1.0,1.0,10000,6329,1.5800284405119291,3.1600568810238583
0.6,1.0,10000,3800,2.6315789473684212,3.1578947368421053
0.6,1.0,10000,3830,2.6109660574412534,3.133159268929504
0.6,1.0,10000,3855,2.594033722438392,3.11284046692607
0.6,1.0,10000,3797,2.6336581511719777,3.1603897814063733
0.6,1.0,10000,3814,2.6219192448872577,3.146303093864709
0.6,1.0,10000,3869,2.5846471956577926,3.1015766347893514
0.6,1.0,10000,3871,2.5833118057349522,3.0999741668819425
0.6,1.0,10000,3834,2.6082420448617634,3.1298904538341157
0.6,1.0,10000,3803,2.6295030239284776,3.155403628714173
0.6,1.0,10000,3827,2.6130128037627385,3.135615364515286
0.6,1.0,10000,3807,2.6267402153926978,3.1520882584712373
0.6,1.0,10000,3922,2.5497195308516063,3.0596634370219276
0.6,1.0,10000,3861,2.59000259000259,3.108003108003108
0.6,1.0,10000,3878,2.5786487880350695,3.0943785456420834
0.6,1.0,10000,3854,2.5947067981318113,3.113648157758173
0.6,1.0,10000,3798,2.6329647182727753,3.1595576619273302
0.6,1.0,10000,3857,2.5926886180969664,3.11122634171636
0.6,1.0,10000,3791,2.637826431020839,3.1653917172250066
0.6,1.0,10000,3759,2.6602819898909282,3.192338387869114
0.6,1.0,10000,3811,2.623983206507478,3.148779847808974
0.6,1.0,10000,3849,2.5980774227071968,3.117692907248636
0.6,1.0,10000,3761,2.658867322520606,3.1906407870247273
0.6,1.0,10000,3902,2.5627883136852896,3.0753459764223474
0.6,1.0,10000,3761,2.658867322520606,3.1906407870247273
0.6,1.0,10000,3860,2.5906735751295336,3.1088082901554404
0.6,1.0,10000,3850,2.5974025974025974,3.116883116883117
0.6,1.0,10000,3809,2.625360987135731,3.1504331845628775
0.6,1.0,10000,3839,2.6048450117218027,3.125814014066163
0.6,1.0,10000,3813,2.6226068712300026,3.147128245476003
0.6,1.0,10000,3833,2.6089225150013045,3.1307070180015653
0.6,1.0,10000,3775,2.6490066225165565,3.1788079470198674
0.6,1.0,10000,3886,2.573340195573855,3.0880082346886257
0.6,1.0,10000,3925,2.5477707006369426,3.0573248407643314
0.6,1.0,10000,3826,2.6136957658128592,3.1364349189754313
0.6,1.0,10000,3811,2.623983206507478,3.148779847808974
