needle_scale,extent,number_of_drops,number_of_hits,drops_per_hits,pi
1.0,1.0,30,20,1.5,3.0
1.0,1.0,30,22,1.3636363636363635,2.727272727272727
1.0,1.0,30,18,1.6666666666666667,3.3333333333333335
1.0,1.0,30,24,1.25,2.5
1.0,1.0,30,19,1.5789473684210527,3.1578947368421053
1.0,1.0,30,20,1.5,3.0
1.0,1.0,30,21,1.4285714285714286,2.857142857142857
1.0,1.0,30,16,1.875,3.75
1.0,1.0,30,20,1.5,3.0
1.0,1.0,30,16,1.875,3.75
1.0,1.0,30,21,1.4285714285714286,2.857142857142857
1.0,1.0,30,21,1.4285714285714286,2.857142857142857
1.0,1.0,30,14,2.142857142857143,4.285714285714286
1.0,1.0,30,18,1.6666666666666667,3.3333333333333335
1.0,1.0,30,20,1.5,3.0
1.0,1.0,30,17,1.7647058823529411,3.5294117647058822
1.0,1.0,30,19,1.5789473684210527,3.1578947368421053
1.0,1.0,30,17,1.7647058823529411,3.5294117647058822
1.0,1.0,30,21,1.4285714285714286,2.857142857142857
1.0,1.0,30,21,1.4285714285714286,2.857142857142857
1.0,1.0,30,15,2.0,4.0
1.0,1.0,30,18,1.6666666666666667,3.3333333333333335
1.0,1.0,30,16,1.875,3.75
1.0,1.0,30,20,1.5,3.0
1.0,1.0,30,20,1.5,3.0
1.0,1.0,30,20,1.5,3.0
1.0,1.0,30,15,2.0,4.0
1.0,1.0,30,18,1.6666666666666667,3.3333333333333335
1.0,1.0,30,18,1.6666666666666667,3.3333333333333335
1.0,1.0,30,20,1.5,3.0
1.0,1.0,30,19,1.5789473684210527,3.1578947368421053
1.0,1.0,30,15,2.0,4.0
1.0,1.0,30,18,1.6666666666666667,3.3333333333333335
1.0,1.0,30,16,1.875,3.75
1.0,1.0,30,19,1.5789473684210527,3.1578947368421053
1.0,1.0,30,20,1.5,3.0
1.0,1.0,30,23,1.3043478260869565,2.608695652173913
1.0,1.0,30,17,1.7647058823529411,3.5294117647058822
1.0,1.0,30,14,2.142857142857143,4.285714285714286
1.0,1.0,30,23,1.3043478260869565,2.608695652173913
1.0,1.0,30,19,1.5789473684210527,3.1578947368421053
1.0,1.0,30,15,2.0,4.0
1.0,1.0,30,23,1.3043478260869565,2.608695652173913
1.0,1.0,30,15,2.0,4.0
1.0,1.0,30,16,1.875,3.75
1.0,1.0,30,20,1.5,3.0
1.0,1.0,30,19,1.5789473684210527,3.1578947368421053
1.0,1.0,30,18,1.6666666666666667,3.3333333333333335
1.0,1.0,30,19,1.5789473684210527,3.1578947368421053
1.0,1.0,30,14,2.142857142857143,4.285714285714286
1.0,1.0,30,20,1.5,3.0
1.0,1.0,30,15,2.0,4.0
1.0,1.0,30,20,1.5,3.0
1.0,1.0,30,15,2.0,4.0
1.0,1.0,30,19,1.5789473684210527,3.1578947368421053
1.0,1.0,30,23,1.3043478260869565,2.608695652173913
1.0,1.0,30,23,1.3043478260869565,2.608695652173913
1.0,1.0,30,20,1.5,3.0
1.0,1.0,30,18,1.6666666666666667,3.3333333333333335
1.0,1.0,30,20,1.5,3.0
1.0,1.0,30,22,1.3636363636363635,2.727272727272727
1.0,1.0,30,18,1.6666666666666667,3.3333333333333335
1.0,1.0,30,19,1.5789473684210527,3.1578947368421053
1.0,1.0,30,21,1.4285714285714286,2.857142857142857
1.0,1.0,30,18,1.6666666666666667,3.3333333333333335
1.0,1.0,30,19,1.5789473684210527,3.1578947368421053
1.0,1.0,30,18,1.6666666666666667,3.3333333333333335
1.0,1.0,30,17,1.7647058823529411,3.5294117647058822
1.0,1.0,30,20,1.5,3.0
1.0,1.0,30,19,1.5789473684210527,3.1578947368421053
1.0,1.0,30,17,1.7647058823529411,3.5294117647058822
1.0,1.0,30,18,1.6666666666666667,3.3333333333333335
1.0,1.0,30,17,1.7647058823529411,3.5294117647058822
1.0,1.0,30,24,1.25,2.5
1.0,1.0,30,16,1.875,3.75
1.0,1.0,30,19,1.5789473684210527,3.1578947368421053
1.0,1.0,30,20,1.5,3.0
1.0,1.0,30,23,1.3043478260869565,2.608695652173913
1.0,1.0,30,22,1.3636363636363635,2.727272727272727
1.0,1.0,30,20,1.5,3.0
1.0,1.0,30,23,1.3043478260869565,2.608695652173913
1.0,1.0,30,27,1.1111111111111112,2.2222222222222223
1.0,1.0,30,23,1.3043478260869565,2.608695652173913
1.0,1.0,30,18,1.6666666666666667,3.3333333333333335
1.0,1.0,30,17,1.7647058823529411,3.5294117647058822
1.0,1.0,30,17,1.7647058823529411,3.5294117647058822
1.0,1.0,30,18,1.6666666666666667,3.3333333333333335
1.0,1.0,30,20,1.5,3.0
1.0,1.0,30,20,1.5,3.0
1.0,1.0,30,18,1.6666666666666667,3.3333333333333335
1.0,1.0,30,19,1.5789473684210527,3.1578947368421053
1.0,1.0,30,20,1.5,3.0
1.0,1.0,30,22,1.3636363636363635,2.727272727272727
1.0,1.0,30,14,2.142857142857143,4.285714285714286
1.0,1.0,30,16,1.875,3.75
1.0,1.0,30,14,2.142857142857143,4.285714285714286
1.0,1.0,30,18,1.6666666666666667,3.3333333333333335
1.0,1.0,30,23,1.3043478260869565,2.608695652173913
1.0,1.0,30,20,1.5,3.0
1.0,1.0,30,22,1.3636363636363635,2.727272727272727
