needle_scale,extent,number_of_drops,number_of_hits,drops_per_hits,pi
1.0,1.0,1,1,1.0,2.0
1.0,1.0,1,1,1.0,2.0
1.0,1.0,1,1,1.0,2.0
1.0,1.0,1,1,1.0,2.0
1.0,1.0,1,1,1.0,2.0
1.0,1.0,1,0,0.0,0.0
1.0,1.0,1,0,0.0,0.0
1.0,1.0,1,1,1.0,2.0
1.0,1.0,1,1,1.0,2.0
1.0,1.0,1,1,1.0,2.0
1.0,1.0,1,1,1.0,2.0
1.0,1.0,1,1,1.0,2.0
1.0,1.0,1,1,1.0,2.0
1.0,1.0,1,1,1.0,2.0
1.0,1.0,1,1,1.0,2.0
1.0,1.0,1,0,0.0,0.0
1.0,1.0,1,1,1.0,2.0
1.0,1.0,1,1,1.0,2.0
1.0,1.0,1,1,1.0,2.0
1.0,1.0,1,1,1.0,2.0
1.0,1.0,1,1,1.0,2.0
1.0,1.0,1,1,1.0,2.0
1.0,1.0,1,1,1.0,2.0
1.0,1.0,1,1,1.0,2.0
1.0,1.0,1,1,1.0,2.0
1.0,1.0,1,0,0.0,0.0
1.0,1.0,1,0,0.0,0.0
1.0,1.0,1,0,0.0,0.0
1.0,1.0,1,1,1.0,2.0
1.0,1.0,1,1,1.0,2.0
1.0,1.0,1,1,1.0,2.0
1.0,1.0,1,1,1.0,2.0
1.0,1.0,1,0,0.0,0.0
1.0,1.0,1,0,0.0,0.0
1.0,1.0,1,1,1.0,2.0
1.0,1.0,1,0,0.0,0.0
1.0,1.0,1,1,1.0,2.0
1.0,1.0,1,1,1.0,2.0
1.0,1.0,1,0,0.0,0.0
1.0,1.0,1,1,1.0,2.0
1.0,1.0,1,1,1.0,2.0
1.0,1.0,1,1,1.0,2.0
1.0,1.0,1,1,1.0,2.0
1.0,1.0,1,1,1.0,2.0
1.0,1.0,1,1,1.0,2.0
1.0,1.0,1,0,0.0,0.0
1.0,1.0,1,0,0.0,0.0
1.0,1.0,1,0,0.0,0.0
1.0,1.0,1,1,1.0,2.0
1.0,1.0,1,0,0.0,0.0
