needle_scale,extent,number_of_drops,number_of_hits,drops_per_hits,pi
0.5,1.0,100,33,3.0303030303030303,3.0303030303030303
0.5,1.0,100,24,4.166666666666667,4.166666666666667
0.5,1.0,100,34,2.9411764705882355,2.9411764705882355
0.5,1.0,100,27,3.7037037037037037,3.7037037037037037
0.5,1.0,100,42,2.380952380952381,2.380952380952381
0.5,1.0,100,22,4.545454545454546,4.545454545454546
0.5,1.0,100,24,4.166666666666667,4.166666666666667
0.5,1.0,100,36,2.7777777777777777,2.7777777777777777
0.5,1.0,100,30,3.3333333333333335,3.3333333333333335
0.5,1.0,100,25,4.0,4.0
0.5,1.0,100,33,3.0303030303030303,3.0303030303030303
0.5,1.0,100,38,2.6315789473684212,2.6315789473684212
0.5,1.0,100,36,2.7777777777777777,2.7777777777777777
0.5,1.0,100,39,2.5641025641025643,2.5641025641025643
0.5,1.0,100,37,2.7027027027027026,2.7027027027027026
0.5,1.0,100,32,3.125,3.125
0.5,1.0,100,36,2.7777777777777777,2.7777777777777777
0.5,1.0,100,29,3.4482758620689653,3.4482758620689653
0.5,1.0,100,37,2.7027027027027026,2.7027027027027026
0.5,1.0,100,34,2.9411764705882355,2.9411764705882355
0.5,1.0,100,40,2.5,2.5
0.5,1.0,100,35,2.857142857142857,2.857142857142857
0.5,1.0,100,31,3.225806451612903,3.225806451612903
0.5,1.0,100,32,3.125,3.125
0.5,1.0,100,39,2.5641025641025643,2.5641025641025643
0.5,1.0,100,39,2.5641025641025643,2.5641025641025643
0.5,1.0,100,30,3.3333333333333335,3.3333333333333335
0.5,1.0,100,35,2.857142857142857,2.857142857142857
0.5,1.0,100,40,2.5,2.5
0.5,1.0,100,33,3.0303030303030303,3.0303030303030303
0.5,1.0,100,38,2.6315789473684212,2.6315789473684212
0.5,1.0,100,32,3.125,3.125
0.5,1.0,100,30,3.3333333333333335,3.3333333333333335
0.5,1.0,100,30,3.3333333333333335,3.3333333333333335
0.5,1.0,100,28,3.5714285714285716,3.5714285714285716
0.5,1.0,100,29,3.4482758620689653,3.4482758620689653
0.5,1.0,100,39,2.5641025641025643,2.5641025641025643
0.5,1.0,100,29,3.4482758620689653,3.4482758620689653
0.5,1.0,100,34,2.9411764705882355,2.9411764705882355
0.5,1.0,100,28,3.5714285714285716,3.5714285714285716
0.5,1.0,100,26,3.8461538461538463,3.8461538461538463
0.5,1.0,100,39,2.5641025641025643,2.5641025641025643
0.5,1.0,100,37,2.7027027027027026,2.7027027027027026
0.5,1.0,100,30,3.3333333333333335,3.3333333333333335
0.5,1.0,100,41,2.4390243902439024,2.4390243902439024
0.5,1.0,100,29,3.4482758620689653,3.4482758620689653
0.5,1.0,100,30,3.3333333333333335,3.3333333333333335
0.5,1.0,100,28,3.5714285714285716,3.5714285714285716
0.5,1.0,100,38,2.6315789473684212,2.6315789473684212
0.5,1.0,100,31,3.225806451612903,3.225806451612903
0.5,1.0,100,37,2.7027027027027026,2.7027027027027026
0.5,1.0,100,26,3.8461538461538463,3.8461538461538463
0.5,1.0,100,32,3.125,3.125
0.5,1.0,100,30,3.3333333333333335,3.3333333333333335
0.5,1.0,100,31,3.225806451612903,3.225806451612903
0.5,1.0,100,34,2.9411764705882355,2.9411764705882355
0.5,1.0,100,35,2.857142857142857,2.857142857142857
0.5,1.0,100,35,2.857142857142857,2.857142857142857
0.5,1.0,100,32,3.125,3.125
0.5,1.0,100,40,2.5,2.5
0.5,1.0,100,33,3.0303030303030303,3.0303030303030303
0.5,1.0,100,36,2.7777777777777777,2.7777777777777777
0.5,1.0,100,29,3.4482758620689653,3.4482758620689653
0.5,1.0,100,28,3.5714285714285716,3.5714285714285716
0.5,1.0,100,35,2.857142857142857,2.857142857142857
0.5,1.0,100,35,2.857142857142857,2.857142857142857
0.5,1.0,100,39,2.5641025641025643,2.5641025641025643
0.5,1.0,100,33,3.0303030303030303,3.0303030303030303
0.5,1.0,100,32,3.125,3.125
0.5,1.0,100,35,2.857142857142857,2.857142857142857
