needle_scale,extent,number_of_drops,number_of_hits,drops_per_hits,pi
0.8,1.0,10000,5168,1.934984520123839,3.0959752321981426
0.8,1.0,10000,5129,1.9496977968414895,3.1195164749463835
0.8,1.0,10000,5045,1.9821605550049555,3.1714568880079286
0.8,1.0,10000,4980,2.0080321285140563,3.21285140562249
0.8,1.0,10000,5052,1.9794140934283453,3.1670625494853524
0.8,1.0,10000,5128,1.9500780031201248,3.1201248049921997
0.8,1.0,10000,5065,1.9743336623889438,3.15893385982231
0.8,1.0,10000,5151,1.9413706076490003,3.1061929722384005
0.8,1.0,10000,5071,1.9719976336028398,3.1551962137645435
0.8,1.0,10000,5061,1.9758940920766648,3.1614305473226634
0.8,1.0,10000,5151,1.9413706076490003,3.1061929722384005
0.8,1.0,10000,5065,1.9743336623889438,3.15893385982231
0.8,1.0,10000,5063,1.9751135690302193,3.160181710448351
0.8,1.0,10000,5042,1.9833399444664817,3.1733439111463704
0.8,1.0,10000,5048,1.9809825673534074,3.1695721077654517
0.8,1.0,10000,5187,1.92789666473877,3.084634663582032
0.8,1.0,10000,5130,1.949317738791423,3.1189083820662766
0.8,1.0,10000,5028,1.988862370723946,3.1821797931583133
0.8,1.0,10000,5019,1.9924287706714485,3.1878860330743177
0.8,1.0,10000,5091,1.9642506383814575,3.142801021410332
0.8,1.0,10000,5080,1.968503937007874,3.1496062992125986
0.8,1.0,10000,5071,1.9719976336028398,3.1551962137645435
0.8,1.0,10000,5109,1.9573302016050107,3.131728322568017
0.8,1.0,10000,5144,1.9440124416796267,3.1104199066874028
0.8,1.0,10000,5114,1.9554165037152913,3.128666405944466
0.8,1.0,10000,5120,1.953125,3.125
0.8,1.0,10000,5063,1.9751135690302193,3.160181710448351
0.8,1.0,10000,5088,1.9654088050314464,3.1446540880503147
0.8,1.0,10000,5070,1.9723865877712032,3.155818540433925
0.8,1.0,10000,5165,1.936108422071636,3.0977734753146176
0.8,1.0,10000,5109,1.9573302016050107,3.131728322568017
0.8,1.0,10000,5091,1.9642506383814575,3.142801021410332
0.8,1.0,10000,5132,1.9485580670303975,3.117692907248636
0.8,1.0,10000,5086,1.9661816751867873,3.1458906802988595
0.8,1.0,10000,5132,1.9485580670303975,3.117692907248636
0.8,1.0,10000,5102,1.960015680125441,3.1360250882007055
0.8,1.0,10000,5029,1.9884668920262478,3.1815470272419963
0.8,1.0,10000,5079,1.9688915140775742,3.1502264225241188
0.8,1.0,10000,5084,1.966955153422502,3.147128245476003
0.8,1.0,10000,5062,1.9755037534571316,3.1608060055314104
0.8,1.0,10000,5116,1.9546520719311962,3.127443315089914
0.8,1.0,10000,5068,1.973164956590371,3.1570639305445933
0.8,1.0,10000,5204,1.9215987701767872,3.074558032282859
0.8,1.0,10000,5082,1.9677292404565132,3.1483667847304213
0.8,1.0,10000,5074,1.9708316909735908,3.1533307055577455
0.8,1.0,10000,5142,1.9447685725398678,3.1116297160637885
0.8,1.0,10000,4994,2.002402883460152,3.2038446135362433
0.8,1.0,10000,5108,1.9577133907595927,3.1323414252153485
0.8,1.0,10000,5067,1.9735543714229327,3.1576869942766925
0.8,1.0,10000,5173,1.9331142470520009,3.092982795283201
0.8,1.0,10000,5141,1.9451468585878233,3.1122349737405175
0.8,1.0,10000,5088,1.9654088050314464,3.1446540880503147
0.8,1.0,10000,5144,1.9440124416796267,3.1104199066874028
0.8,1.0,10000,5013,1.994813484939158,3.1917015759026532
0.8,1.0,10000,5062,1.9755037534571316,3.1608060055314104
0.8,1.0,10000,5195,1.9249278152069298,3.0798845043310874
0.8,1.0,10000,5136,1.9470404984423677,3.115264797507788
0.8,1.0,10000,5104,1.9592476489028212,3.134796238244514
0.8,1.0,10000,5129,1.9496977968414895,3.1195164749463835
0.8,1.0,10000,5142,1.9447685725398678,3.1116297160637885
0.8,1.0,10000,5122,1.952362358453729,3.1237797735259663
0.8,1.0,10000,5051,1.9798059790140565,3.1676895664224904
0.8,1.0,10000,5170,1.9342359767891684,3.094777562862669
0.8,1.0,10000,5072,1.971608832807571,3.1545741324921135
0.8,1.0,10000,5182,1.9297568506368197,3.0876109610189117
0.8,1.0,10000,5046,1.9817677368212445,3.1708283789139915
0.8,1.0,10000,5089,1.9650225977598743,3.144036156415799
0.8,1.0,10000,5103,1.9596315892612188,3.1354105428179504
0.8,1.0,10000,5107,1.9580967299784608,3.1329547679655376
0.8,1.0,10000,5071,1.9719976336028398,3.1551962137645435
0.8,1.0,10000,5062,1.9755037534571316,3.1608060055314104
0.8,1.0,10000,5068,1.973164956590371,3.1570639305445933
0.8,1.0,10000,5178,1.9312475859405176,3.089996137504828
0.8,1.0,10000,5125,1.951219512195122,3.1219512195121952
0.8,1.0,10000,5163,1.936858415649816,3.0989734650397054
0.8,1.0,10000,5110,1.9569471624266144,3.131115459882583
0.8,1.0,10000,5078,1.9692792437967703,3.1508467900748327
0.8,1.0,10000,5131,1.9489378288832586,3.118300526213214
0.8,1.0,10000,5180,1.9305019305019304,3.088803088803089
0.8,1.0,10000,5160,1.937984496124031,3.10077519379845
0.8,1.0,10000,5017,1.9932230416583616,3.1891568666533785
0.8,1.0,10000,5014,1.9944156362185879,3.191065017949741
0.8,1.0,10000,4983,2.006823198876179,3.2109171182018863
0.8,1.0,10000,5083,1.9673421207948063,3.1477473932716897
0.8,1.0,10000,5091,1.9642506383814575,3.142801021410332
0.8,1.0,10000,5095,1.9627085377821394,3.140333660451423
0.8,1.0,10000,5216,1.9171779141104295,3.067484662576687
0.8,1.0,10000,5084,1.966955153422502,3.147128245476003
0.8,1.0,10000,5128,1.9500780031201248,3.1201248049921997
0.8,1.0,10000,5110,1.9569471624266144,3.131115459882583
0.8,1.0,10000,5064,1.9747235387045814,3.1595576619273302
0.8,1.0,10000,5020,1.9920318725099602,3.187250996015936
0.8,1.0,10000,5171,1.9338619222587508,3.0941790756140013
0.8,1.0,10000,5196,1.924557351809084,3.079291762894534
0.8,1.0,10000,5110,1.9569471624266144,3.131115459882583
0.8,1.0,10000,5074,1.9708316909735908,3.1533307055577455
0.8,1.0,10000,5149,1.9421246844047388,3.107399495047582
0.8,1.0,10000,5106,1.9584802193497846,3.1335683509596555
0.8,1.0,10000,5034,1.986491855383393,3.1783869686134287
