needle_scale,extent,number_of_drops,number_of_hits,drops_per_hits,pi
1.0,1.0,10000,6470,1.545595054095827,3.091190108191654
1.0,1.0,10000,6346,1.575795776867318,3.151591553734636
1.0,1.0,10000,6329,1.5800284405119291,3.1600568810238583
1.0,1.0,10000,6263,1.596678907871627,3.193357815743254
1.0,1.0,10000,6311,1.5845349389954049,3.1690698779908097
1.0,1.0,10000,6349,1.5750511891636478,3.1501023783272957
1.0,1.0,10000,6313,1.5840329478853161,3.1680658957706322
1.0,1.0,10000,6437,1.5535187199005749,3.1070374398011498
1.0,1.0,10000,6319,1.582528881152081,3.165057762304162
1.0,1.0,10000,6358,1.5728216420257943,3.1456432840515887
1.0,1.0,10000,6382,1.5669069257286117,3.1338138514572234
1.0,1.0,10000,6403,1.5617679212868967,3.1235358425737934
1.0,1.0,10000,6304,1.5862944162436547,3.1725888324873095
1.0,1.0,10000,6386,1.5659254619480112,3.1318509238960224
1.0,1.0,10000,6449,1.5506280043417584,3.101256008683517
1.0,1.0,10000,6313,1.5840329478853161,3.1680658957706322
1.0,1.0,10000,6351,1.574555188159345,3.14911037631869
1.0,1.0,10000,6363,1.5715857300015716,3.1431714600031433
1.0,1.0,10000,6349,1.5750511891636478,3.1501023783272957
1.0,1.0,10000,6444,1.5518311607697082,3.1036623215394163
1.0,1.0,10000,6306,1.585791309863622,3.171582619727244
1.0,1.0,10000,6342,1.576789656259855,3.15357931251971
1.0,1.0,10000,6395,1.563721657544957,3.127443315089914
1.0,1.0,10000,6276,1.5933715742511154,3.186743148502231
1.0,1.0,10000,6351,1.574555188159345,3.14911037631869
1.0,1.0,10000,6351,1.574555188159345,3.14911037631869
1.0,1.0,10000,6468,1.5460729746444033,3.0921459492888066
1.0,1.0,10000,6351,1.574555188159345,3.14911037631869
1.0,1.0,10000,6340,1.5772870662460567,3.1545741324921135
1.0,1.0,10000,6427,1.5559358954411078,3.1118717908822155
1.0,1.0,10000,6431,1.5549681231534753,3.1099362463069506
1.0,1.0,10000,6353,1.574059499449079,3.148118998898158
1.0,1.0,10000,6395,1.563721657544957,3.127443315089914
1.0,1.0,10000,6467,1.5463120457708366,3.092624091541673
1.0,1.0,10000,6356,1.5733165512901195,3.146633102580239
1.0,1.0,10000,6332,1.5792798483891346,3.158559696778269
1.0,1.0,10000,6337,1.5780337699226763,3.1560675398453526
1.0,1.0,10000,6377,1.5681354869060686,3.1362709738121373
1.0,1.0,10000,6334,1.5787811809283234,3.157562361856647
1.0,1.0,10000,6300,1.5873015873015872,3.1746031746031744
1.0,1.0,10000,6441,1.5525539512498059,3.1051079024996118
1.0,1.0,10000,6384,1.5664160401002507,3.1328320802005014
1.0,1.0,10000,6327,1.58052789631737,3.16105579263474
1.0,1.0,10000,6360,1.5723270440251573,3.1446540880503147
1.0,1.0,10000,6339,1.5775358889414735,3.155071777882947
1.0,1.0,10000,6429,1.5554518587649713,3.1109037175299425
1.0,1.0,10000,6400,1.5625,3.125
1.0,1.0,10000,6326,1.5807777426493834,3.161555485298767
1.0,1.0,10000,6353,1.574059499449079,3.148118998898158
1.0,1.0,10000,6297,1.588057805304113,3.176115610608226
1.0,1.0,10000,6369,1.5701051970482023,3.1402103940964046
1.0,1.0,10000,6357,1.5730690577316344,3.146138115463269
1.0,1.0,10000,6357,1.5730690577316344,3.146138115463269
1.0,1.0,10000,6405,1.56128024980484,3.12256049960968
1.0,1.0,10000,6302,1.586797841954935,3.17359568390987
1.0,1.0,10000,6386,1.5659254619480112,3.1318509238960224
1.0,1.0,10000,6312,1.5842839036755387,3.1685678073510775
1.0,1.0,10000,6434,1.554243083618278,3.108486167236556
1.0,1.0,10000,6334,1.5787811809283234,3.157562361856647
1.0,1.0,10000,6455,1.549186676994578,3.098373353989156
1.0,1.0,10000,6334,1.5787811809283234,3.157562361856647
1.0,1.0,10000,6391,1.5647003598810827,3.1294007197621654
1.0,1.0,10000,6386,1.5659254619480112,3.1318509238960224
1.0,1.0,10000,6317,1.5830299192654742,3.1660598385309484
1.0,1.0,10000,6395,1.563721657544957,3.127443315089914
1.0,1.0,10000,6283,1.5915963711602739,3.1831927423205477
1.0,1.0,10000,6447,1.5511090429657204,3.1022180859314408
1.0,1.0,10000,6320,1.5822784810126582,3.1645569620253164
1.0,1.0,10000,6403,1.5617679212868967,3.1235358425737934
1.0,1.0,10000,6297,1.588057805304113,3.176115610608226
1.0,1.0,10000,6373,1.5691197238349286,3.138239447669857
1.0,1.0,10000,6377,1.5681354869060686,3.1362709738121373
1.0,1.0,10000,6248,1.6005121638924455,3.201024327784891
1.0,1.0,10000,6297,1.588057805304113,3.176115610608226
1.0,1.0,10000,6359,1.5725743041358704,3.145148608271741
1.0,1.0,10000,6391,1.5647003598810827,3.1294007197621654
1.0,1.0,10000,6316,1.5832805573147561,3.1665611146295123
1.0,1.0,10000,6344,1.5762925598991173,3.1525851197982346
1.0,1.0,10000,6371,1.5696123057604772,3.1392246115209543
1.0,1.0,10000,6368,1.57035175879397,3.14070351758794
1.0,1.0,10000,6274,1.593879502709595,3.18775900541919
1.0,1.0,10000,6378,1.5678896205707118,3.1357792411414236
1.0,1.0,10000,6333,1.579030475288173,3.158060950576346
1.0,1.0,10000,6436,1.5537600994406464,3.107520198881293
1.0,1.0,10000,6359,1.5725743041358704,3.145148608271741
1.0,1.0,10000,6373,1.5691197238349286,3.138239447669857
1.0,1.0,10000,6391,1.5647003598810827,3.1294007197621654
1.0,1.0,10000,6437,1.5535187199005749,3.1070374398011498
1.0,1.0,10000,6408,1.5605493133583022,3.1210986267166043
1.0,1.0,10000,6342,1.576789656259855,3.15357931251971
1.0,1.0,10000,6414,1.5590894917368257,3.1181789834736513
1.0,1.0,10000,6361,1.5720798616569722,3.1441597233139444
1.0,1.0,10000,6362,1.5718327569946557,3.1436655139893115
1.0,1.0,10000,6355,1.5735641227380015,3.147128245476003
1.0,1.0,10000,6378,1.5678896205707118,3.1357792411414236
1.0,1.0,10000,6367,1.570598397989634,3.141196795979268
1.0,1.0,10000,6378,1.5678896205707118,3.1357792411414236
1.0,1.0,10000,6388,1.5654351909830932,3.1308703819661865
1.0,1.0,10000,6418,1.5581177937052042,3.1162355874104084
1.0,1.0,10000,6408,1.5605493133583022,3.1210986267166043
