,arrival_time_list,interarrival_time_list,service_time_list,average_waiting_time_in_queue,time_average_number_in_queue,utilization
0,"[704, 706, 804, 1004, 1303, 1404, 1404, 1608, 1904, 2203, 2807]","[2, 98, 200, 299, 101, 0, 204, 296, 299, 604, 0]",[547 391 457 601 558 234 454 328 334 392 362],5.243333333333334,1.931,0.648
1,"[1308, 1900, 1902, 2107, 2107, 2409, 2607, 3003, 3200, 3408, 3607]","[592, 2, 205, 0, 302, 198, 396, 197, 208, 199, 0]",[531 276 286 224 444  84 544 259 382 317 512],0.0,0.049,0.3155
2,"[1508, 1702, 3409, 3706, 3805]","[194, 1707, 297, 99, 0]",[298 339 103 532 142],0.52,0.052,0.246
3,"[400, 407, 2305, 2600, 2601, 2704, 3901]","[7, 1898, 295, 1, 103, 1197, 0]",[549 395 357 134 314 305 336],4.705,0.4705,0.6715
4,"[6, 107, 400, 704, 806, 808, 1304, 1408, 1501, 2209, 3205, 3904]","[101, 293, 304, 102, 2, 496, 104, 93, 708, 996, 699, 0]",[351 403 232 425 298 165 272 414 384 215 416 336],5.417999999999999,2.844,0.997
5,"[105, 202, 400, 1107, 2306, 2307, 2700, 3200, 3308, 3405, 3605, 3709, 3806]","[97, 198, 707, 1199, 1, 393, 500, 108, 97, 200, 104, 97, 0]",[396 308 622 317 358 526 242 278 367 308 210 322 305],5.58,1.116,0.9475
6,"[9, 101, 1302, 1302, 1409, 1705, 2104, 2401, 2806, 3403, 3901]","[92, 1201, 0, 107, 296, 399, 297, 405, 597, 498, 0]",[310 429 370 243  63 450 474 173 532 297 645],0.7266666666666667,0.109,0.7545
7,"[102, 303, 902, 1202, 1405, 1607, 1803, 2800, 3909]","[201, 599, 300, 203, 202, 196, 997, 1109, 0]",[538 293 349 392 256 346 346 146 462],4.12,1.4165,0.949
8,"[0, 9, 1500, 1800, 2306, 2409, 2807, 3104, 3407, 3604, 3609]","[9, 1491, 300, 506, 103, 398, 297, 303, 197, 5, 0]",[356 470 124 188  84 620 542 597 436 457 211],0.8675,0.1735,0.769
9,"[1102, 1109, 1401, 1903, 2000, 2101, 2300, 2400, 2402, 2604, 2608, 3300, 3607]","[7, 292, 502, 97, 101, 199, 100, 2, 202, 4, 692, 307, 0]",[346 313 219 344 303 291 173 290 318 272 418 544 379],1.94,0.388,0.449
10,"[6, 1005, 1206, 1500, 2600, 2706, 3109, 3401, 3508, 3809]","[999, 201, 294, 1100, 106, 403, 292, 107, 301, 0]",[497 427 170 345 416 264 376 358 346 326],0.8200000000000001,0.164,0.9195
11,"[802, 808, 1000, 1003, 1704, 2602, 2902, 2908, 3106, 3707, 3802]","[6, 192, 3, 701, 898, 300, 6, 198, 601, 95, 0]",[545 313 291  44 345 309 285 382 394 224 245],4.876,1.219,0.599
12,"[502, 509, 606, 904, 907, 1306, 2102, 2603, 2702, 2806, 3104, 3205]","[7, 97, 298, 3, 399, 796, 501, 99, 104, 298, 101, 0]",[400 268 373 152 431 171 346 332 254 673 278 399],7.144,2.133,0.749
13,"[4, 104, 105, 109, 303, 806, 1401, 1603, 1909, 2102, 2501, 3107, 3603]","[100, 1, 4, 194, 503, 595, 202, 306, 193, 399, 606, 496, 0]",[265 432 341 397 499 406 499 444 514 227 256 202 410],8.06,3.1555,0.998
14,"[103, 401, 805, 1308, 1601, 2503, 3107, 3800]","[298, 404, 503, 293, 902, 604, 693, 0]",[522 355 366 337 118 362 175 370],4.0925,1.018,0.9485
15,"[7, 902, 1107, 1702, 2100]","[895, 205, 595, 398, 0]",[310 384 328 289 373],0.4475,0.0895,0.6555
16,"[904, 2006, 2600, 3704]","[1102, 594, 1104, 0]",[360 172 278 353],0.0,0.0,0.18
